Method,Category_1,Category_2,Silhouette_Score
PCA-2D,certain,adversarial_nonsense,0.27925366163253784
PCA-2D,corrupted,adversarial_nonsense,0.10637069493532181
PCA-2D,gibberish,adversarial_nonsense,0.6249947547912598
PCA-2D,nonword,adversarial_nonsense,0.13756345212459564
PCA-2D,word_salad,adversarial_nonsense,0.1805817186832428
PCA-2D,adversarial_nonsense,certain,0.27925366163253784
PCA-2D,corrupted,certain,0.05784127116203308
PCA-2D,gibberish,certain,0.6661483645439148
PCA-2D,nonword,certain,0.06877727061510086
PCA-2D,word_salad,certain,0.07326249033212662
PCA-2D,adversarial_nonsense,corrupted,0.10637069493532181
PCA-2D,certain,corrupted,0.05784127116203308
PCA-2D,gibberish,corrupted,0.5786593556404114
PCA-2D,nonword,corrupted,0.004342994652688503
PCA-2D,word_salad,corrupted,0.030577532947063446
PCA-2D,adversarial_nonsense,gibberish,0.6249947547912598
PCA-2D,certain,gibberish,0.6661483645439148
PCA-2D,corrupted,gibberish,0.5786593556404114
PCA-2D,nonword,gibberish,0.592982828617096
PCA-2D,word_salad,gibberish,0.6400860548019409
PCA-2D,adversarial_nonsense,nonword,0.13756345212459564
PCA-2D,certain,nonword,0.06877727061510086
PCA-2D,corrupted,nonword,0.004342994652688503
PCA-2D,gibberish,nonword,0.592982828617096
PCA-2D,word_salad,nonword,0.05000905320048332
PCA-2D,adversarial_nonsense,word_salad,0.1805817186832428
PCA-2D,certain,word_salad,0.07326249033212662
PCA-2D,corrupted,word_salad,0.030577532947063446
PCA-2D,gibberish,word_salad,0.6400860548019409
PCA-2D,nonword,word_salad,0.05000905320048332
tSNE-2D_perp30,certain,adversarial_nonsense,0.11815033107995987
tSNE-2D_perp30,corrupted,adversarial_nonsense,0.09568505734205246
tSNE-2D_perp30,gibberish,adversarial_nonsense,0.6716881990432739
tSNE-2D_perp30,nonword,adversarial_nonsense,0.08351410925388336
tSNE-2D_perp30,word_salad,adversarial_nonsense,0.1246052235364914
tSNE-2D_perp30,adversarial_nonsense,certain,0.11815033107995987
tSNE-2D_perp30,corrupted,certain,0.020493362098932266
tSNE-2D_perp30,gibberish,certain,0.5155982375144958
tSNE-2D_perp30,nonword,certain,0.02408752031624317
tSNE-2D_perp30,word_salad,certain,-0.0012976127909496427
tSNE-2D_perp30,adversarial_nonsense,corrupted,0.09568505734205246
tSNE-2D_perp30,certain,corrupted,0.020493362098932266
tSNE-2D_perp30,gibberish,corrupted,0.5193262100219727
tSNE-2D_perp30,nonword,corrupted,0.00012466812040656805
tSNE-2D_perp30,word_salad,corrupted,0.01924915984272957
tSNE-2D_perp30,adversarial_nonsense,gibberish,0.6716881990432739
tSNE-2D_perp30,certain,gibberish,0.5155982375144958
tSNE-2D_perp30,corrupted,gibberish,0.5193262100219727
tSNE-2D_perp30,nonword,gibberish,0.5186885595321655
tSNE-2D_perp30,word_salad,gibberish,0.5197041630744934
tSNE-2D_perp30,adversarial_nonsense,nonword,0.08351410925388336
tSNE-2D_perp30,certain,nonword,0.02408752031624317
tSNE-2D_perp30,corrupted,nonword,0.00012466812040656805
tSNE-2D_perp30,gibberish,nonword,0.5186885595321655
tSNE-2D_perp30,word_salad,nonword,0.023679591715335846
tSNE-2D_perp30,adversarial_nonsense,word_salad,0.1246052235364914
tSNE-2D_perp30,certain,word_salad,-0.0012976127909496427
tSNE-2D_perp30,corrupted,word_salad,0.01924915984272957
tSNE-2D_perp30,gibberish,word_salad,0.5197041630744934
tSNE-2D_perp30,nonword,word_salad,0.023679591715335846
tSNE-2D_perp50,certain,adversarial_nonsense,0.09081881493330002
tSNE-2D_perp50,corrupted,adversarial_nonsense,0.04641445353627205
tSNE-2D_perp50,gibberish,adversarial_nonsense,0.7378013730049133
tSNE-2D_perp50,nonword,adversarial_nonsense,0.06682872772216797
tSNE-2D_perp50,word_salad,adversarial_nonsense,0.09727460891008377
tSNE-2D_perp50,adversarial_nonsense,certain,0.09081881493330002
tSNE-2D_perp50,corrupted,certain,0.010553184896707535
tSNE-2D_perp50,gibberish,certain,0.5341354012489319
tSNE-2D_perp50,nonword,certain,0.01943013072013855
tSNE-2D_perp50,word_salad,certain,-0.0010754101676866412
tSNE-2D_perp50,adversarial_nonsense,corrupted,0.04641445353627205
tSNE-2D_perp50,certain,corrupted,0.010553184896707535
tSNE-2D_perp50,gibberish,corrupted,0.5292165279388428
tSNE-2D_perp50,nonword,corrupted,0.003308988641947508
tSNE-2D_perp50,word_salad,corrupted,0.010844669304788113
tSNE-2D_perp50,adversarial_nonsense,gibberish,0.7378013730049133
tSNE-2D_perp50,certain,gibberish,0.5341354012489319
tSNE-2D_perp50,corrupted,gibberish,0.5292165279388428
tSNE-2D_perp50,nonword,gibberish,0.5289803147315979
tSNE-2D_perp50,word_salad,gibberish,0.5403759479522705
tSNE-2D_perp50,adversarial_nonsense,nonword,0.06682872772216797
tSNE-2D_perp50,certain,nonword,0.01943013072013855
tSNE-2D_perp50,corrupted,nonword,0.003308988641947508
tSNE-2D_perp50,gibberish,nonword,0.5289803147315979
tSNE-2D_perp50,word_salad,nonword,0.017714330926537514
tSNE-2D_perp50,adversarial_nonsense,word_salad,0.09727460891008377
tSNE-2D_perp50,certain,word_salad,-0.0010754101676866412
tSNE-2D_perp50,corrupted,word_salad,0.010844669304788113
tSNE-2D_perp50,gibberish,word_salad,0.5403759479522705
tSNE-2D_perp50,nonword,word_salad,0.017714330926537514
UMAP-2D_nn15_md01,certain,adversarial_nonsense,0.372713565826416
UMAP-2D_nn15_md01,corrupted,adversarial_nonsense,0.2636343538761139
UMAP-2D_nn15_md01,gibberish,adversarial_nonsense,0.7435212731361389
UMAP-2D_nn15_md01,nonword,adversarial_nonsense,0.2508561909198761
UMAP-2D_nn15_md01,word_salad,adversarial_nonsense,0.35711729526519775
UMAP-2D_nn15_md01,adversarial_nonsense,certain,0.372713565826416
UMAP-2D_nn15_md01,corrupted,certain,0.017786242067813873
UMAP-2D_nn15_md01,gibberish,certain,0.6686590313911438
UMAP-2D_nn15_md01,nonword,certain,0.020592646673321724
UMAP-2D_nn15_md01,word_salad,certain,-0.001213445677421987
UMAP-2D_nn15_md01,adversarial_nonsense,corrupted,0.2636343538761139
UMAP-2D_nn15_md01,certain,corrupted,0.017786242067813873
UMAP-2D_nn15_md01,gibberish,corrupted,0.6177349090576172
UMAP-2D_nn15_md01,nonword,corrupted,-0.0010181820252910256
UMAP-2D_nn15_md01,word_salad,corrupted,0.01549419667571783
UMAP-2D_nn15_md01,adversarial_nonsense,gibberish,0.7435212731361389
UMAP-2D_nn15_md01,certain,gibberish,0.6686590313911438
UMAP-2D_nn15_md01,corrupted,gibberish,0.6177349090576172
UMAP-2D_nn15_md01,nonword,gibberish,0.6106923818588257
UMAP-2D_nn15_md01,word_salad,gibberish,0.6606733798980713
UMAP-2D_nn15_md01,adversarial_nonsense,nonword,0.2508561909198761
UMAP-2D_nn15_md01,certain,nonword,0.020592646673321724
UMAP-2D_nn15_md01,corrupted,nonword,-0.0010181820252910256
UMAP-2D_nn15_md01,gibberish,nonword,0.6106923818588257
UMAP-2D_nn15_md01,word_salad,nonword,0.017782509326934814
UMAP-2D_nn15_md01,adversarial_nonsense,word_salad,0.35711729526519775
UMAP-2D_nn15_md01,certain,word_salad,-0.001213445677421987
UMAP-2D_nn15_md01,corrupted,word_salad,0.01549419667571783
UMAP-2D_nn15_md01,gibberish,word_salad,0.6606733798980713
UMAP-2D_nn15_md01,nonword,word_salad,0.017782509326934814
UMAP-2D_nn30_md01,certain,adversarial_nonsense,0.32893067598342896
UMAP-2D_nn30_md01,corrupted,adversarial_nonsense,0.24719294905662537
UMAP-2D_nn30_md01,gibberish,adversarial_nonsense,0.6208030581474304
UMAP-2D_nn30_md01,nonword,adversarial_nonsense,0.24019071459770203
UMAP-2D_nn30_md01,word_salad,adversarial_nonsense,0.32710981369018555
UMAP-2D_nn30_md01,adversarial_nonsense,certain,0.32893067598342896
UMAP-2D_nn30_md01,corrupted,certain,0.01364911813288927
UMAP-2D_nn30_md01,gibberish,certain,0.5950170755386353
UMAP-2D_nn30_md01,nonword,certain,0.015410729683935642
UMAP-2D_nn30_md01,word_salad,certain,-0.0014427818823605776
UMAP-2D_nn30_md01,adversarial_nonsense,corrupted,0.24719294905662537
UMAP-2D_nn30_md01,certain,corrupted,0.01364911813288927
UMAP-2D_nn30_md01,gibberish,corrupted,0.5278996229171753
UMAP-2D_nn30_md01,nonword,corrupted,0.0002830750891007483
UMAP-2D_nn30_md01,word_salad,corrupted,0.012888169847428799
UMAP-2D_nn30_md01,adversarial_nonsense,gibberish,0.6208030581474304
UMAP-2D_nn30_md01,certain,gibberish,0.5950170755386353
UMAP-2D_nn30_md01,corrupted,gibberish,0.5278996229171753
UMAP-2D_nn30_md01,nonword,gibberish,0.5240222811698914
UMAP-2D_nn30_md01,word_salad,gibberish,0.5922306180000305
UMAP-2D_nn30_md01,adversarial_nonsense,nonword,0.24019071459770203
UMAP-2D_nn30_md01,certain,nonword,0.015410729683935642
UMAP-2D_nn30_md01,corrupted,nonword,0.0002830750891007483
UMAP-2D_nn30_md01,gibberish,nonword,0.5240222811698914
UMAP-2D_nn30_md01,word_salad,nonword,0.014225061051547527
UMAP-2D_nn30_md01,adversarial_nonsense,word_salad,0.32710981369018555
UMAP-2D_nn30_md01,certain,word_salad,-0.0014427818823605776
UMAP-2D_nn30_md01,corrupted,word_salad,0.012888169847428799
UMAP-2D_nn30_md01,gibberish,word_salad,0.5922306180000305
UMAP-2D_nn30_md01,nonword,word_salad,0.014225061051547527
